dataset,lang_pair,workflow,workflow_dir,workflow_acronym,model,report_file,sample_idx,sample_id,first_step_name,first_step_order,final_step_name,final_step_order,is_comparable,changed,unchanged,edit_distance,normalized_edit_distance,prev_translation_len_chars,curr_translation_len_chars
dolfin,en_it,IRB_refine,IRB,IRB,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/IRB/gpt-4-1/report.json,0,561,initial_translation,0,refinement,1,True,True,False,224,0.033043221714117124,6779,6769
dolfin,en_it,IRB_refine,IRB,IRB,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/IRB/gpt-4-1/report.json,1,1449,initial_translation,0,refinement,1,True,True,False,103,0.014661921708185054,6992,7025
dolfin,en_it,IRB_refine,IRB,IRB,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/IRB/gpt-4-1/report.json,2,1504,initial_translation,0,refinement,1,True,False,True,0,0.0,6379,6379
dolfin,en_it,IRB_refine,IRB,IRB,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/IRB/gpt-4-1/report.json,3,758,initial_translation,0,refinement,1,True,True,False,66,0.004664970313825276,14100,14148
dolfin,en_it,IRB_refine,IRB,IRB,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/IRB/gpt-4-1/report.json,4,155,initial_translation,0,refinement,1,True,True,False,51,0.006556112610875434,7779,7748
dolfin,en_it,IRB_refine,IRB,IRB,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/IRB/gpt-4-1/report.json,5,109,initial_translation,0,refinement,1,True,True,False,28,0.0014966059115933507,18690,18709
dolfin,en_it,IRB_refine,IRB,IRB,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/IRB/gpt-4-1/report.json,6,759,initial_translation,0,refinement,1,True,False,True,0,0.0,11045,11045
dolfin,en_it,IRB_refine,IRB,IRB,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/IRB/gpt-4-1/report.json,7,424,initial_translation,0,refinement,1,True,True,False,117,0.009469850263051397,12355,12301
dolfin,en_it,IRB_refine,IRB,IRB,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/IRB/gpt-4-1/report.json,8,509,initial_translation,0,refinement,1,True,True,False,320,0.045825576399828157,6925,6983
dolfin,en_it,IRB_refine,IRB,IRB,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/IRB/gpt-4-1/report.json,9,810,initial_translation,0,refinement,1,True,True,False,25,0.003382034632034632,7392,7380
dolfin,en_it,IRB_refine,IRB,IRB,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_it/IRB/gpt-4-1/report.json,10,444,initial_translation,0,refinement,1,True,False,True,0,0.0,7525,7525
