dataset,lang_pair,workflow,workflow_dir,workflow_acronym,model,report_file,sample_idx,sample_id,step_order,step_name,agent_type,translation_mode,output_index,translation_available,translation_state_hash,translation_len_chars
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,0,1869,0,translate,translate,direct,0,True,b6abf0a969477e485ee5f052488160b3dbc6a515,6041
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,0,1869,1,postedit,postedit,direct,1,True,ba0bb6c8c19e158fbcafc9a8486de4fe049cfaf0,6029
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,0,1869,2,proofread,proofread,direct,2,True,f2cdd3bc2dd79eae33d908d3dbff5b5fda85f80a,5984
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,1,2444,0,translate,translate,direct,0,True,73b8a5aafbcad3604242d8f345a5a79b6311e0bf,7651
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,1,2444,1,postedit,postedit,direct,1,True,671a1f7db8513f47f46a65549fe9a74cd3a13d84,7756
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,1,2444,2,proofread,proofread,direct,2,True,5dca957b7f2dada0a70ee2ccbb5a975646d6b1b9,7649
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,2,3386,0,translate,translate,direct,0,True,4145e4952fa93c5a39b8b300ebb6bd6bff149a0e,17465
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,2,3386,1,postedit,postedit,direct,1,True,e5f2c8a477ae1b25b4b4a20e297fe95bac9616aa,17536
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,2,3386,2,proofread,proofread,direct,2,True,7d123e67a6586337e85ba9ed165a9b04c589068e,17482
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,3,2121,0,translate,translate,direct,0,True,8feac837a9a555e153d7f43f4441e32d90ea1dcd,7748
