dataset,lang_pair,workflow,workflow_dir,workflow_acronym,model,report_file,sample_idx,sample_id,transition_order,prev_step_name,curr_step_name,prev_agent_type,curr_agent_type,prev_translation_mode,curr_translation_mode,is_comparable,changed,unchanged,edit_distance,normalized_edit_distance,prev_translation_len_chars,curr_translation_len_chars
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,0,1869,1,translate,postedit,translate,postedit,direct,direct,True,True,False,461,0.07631186889587817,6041,6029
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,0,1869,2,postedit,proofread,postedit,proofread,direct,direct,True,True,False,606,0.10051418145629458,6029,5984
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,1,2444,1,translate,postedit,translate,postedit,direct,direct,True,True,False,197,0.025399690562145437,7651,7756
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,1,2444,2,postedit,proofread,postedit,proofread,direct,direct,True,True,False,174,0.022434244455905104,7756,7649
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,2,3386,1,translate,postedit,translate,postedit,direct,direct,True,True,False,465,0.026516879562043797,17465,17536
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,2,3386,2,postedit,proofread,postedit,proofread,direct,direct,True,True,False,239,0.013629105839416058,17536,17482
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,3,2121,1,translate,postedit,translate,postedit,direct,direct,True,True,False,160,0.020457741976729317,7748,7821
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,3,2121,2,postedit,proofread,postedit,proofread,direct,direct,True,True,False,241,0.030814473852448537,7821,7672
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,4,2120,1,translate,postedit,translate,postedit,direct,direct,True,True,False,108,0.017134697762970014,6303,6293
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,4,2120,2,postedit,proofread,postedit,proofread,direct,direct,True,True,False,149,0.023677101541395202,6293,6257
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,5,3345,1,translate,postedit,translate,postedit,direct,direct,True,True,False,634,0.09722435209323724,6521,6506
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,5,3345,2,postedit,proofread,postedit,proofread,direct,direct,True,True,False,501,0.0770058407623732,6506,6440
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,6,1833,1,translate,postedit,translate,postedit,direct,direct,True,True,False,755,0.1037372904644133,7144,7278
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,6,1833,2,postedit,proofread,postedit,proofread,direct,direct,True,True,False,344,0.047265732344050564,7278,7218
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,7,2261,1,translate,postedit,translate,postedit,direct,direct,True,True,False,347,0.04969922658264108,6930,6982
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,7,2261,2,postedit,proofread,postedit,proofread,direct,direct,True,True,False,175,0.025064451446576912,6982,6924
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,8,1880,1,translate,postedit,translate,postedit,direct,direct,True,True,False,166,0.022171764391612128,7415,7487
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,8,1880,2,postedit,proofread,postedit,proofread,direct,direct,True,True,False,120,0.016027781487912382,7487,7448
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,9,2658,1,translate,postedit,translate,postedit,direct,direct,True,True,False,104,0.0131762321043963,7893,7880
