dataset,lang_pair,workflow,workflow_dir,workflow_acronym,model,report_file,sample_idx,sample_id,first_step_name,first_step_order,final_step_name,final_step_order,is_comparable,changed,unchanged,edit_distance,normalized_edit_distance,prev_translation_len_chars,curr_translation_len_chars
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,0,1869,translate,0,proofread,2,True,True,False,379,0.0627379572918391,6041,5984
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,1,2444,translate,0,proofread,2,True,True,False,81,0.010586851391974905,7651,7649
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,2,3386,translate,0,proofread,2,True,True,False,398,0.0227662738817069,17465,17482
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,3,2121,translate,0,proofread,2,True,True,False,129,0.01664945792462571,7748,7672
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,4,2120,translate,0,proofread,2,True,True,False,191,0.030303030303030304,6303,6257
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,5,3345,translate,0,proofread,2,True,True,False,400,0.06134028523232633,6521,6440
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,6,1833,translate,0,proofread,2,True,True,False,536,0.0742587974508174,7144,7218
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,7,2261,translate,0,proofread,2,True,True,False,176,0.025396825396825397,6930,6924
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,8,1880,translate,0,proofread,2,True,True,False,90,0.012083780880773363,7415,7448
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,9,2658,translate,0,proofread,2,True,True,False,136,0.01723045736728747,7893,7852
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,10,2119,translate,0,proofread,2,True,True,False,65,0.0087201502548967,7408,7454
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,11,1962,translate,0,proofread,2,True,True,False,333,0.04749679075738126,7011,6954
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,12,1874,translate,0,proofread,2,True,True,False,155,0.01642993428026288,9434,9395
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,13,1987,translate,0,proofread,2,True,True,False,170,0.024655547498187092,6880,6895
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,14,2941,translate,0,proofread,2,True,True,False,612,0.049618939516782874,12334,12123
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,15,2260,translate,0,proofread,2,True,True,False,223,0.02810333963453056,7935,7927
dolfin,en_es,MaMT_translate_postedit_proofread,MaMT,MaMT,gpt-4-1,/Users/damifass/Desktop/agent-mt/outputs/dolfin/en_es/MaMT/gpt-4-1/report.json,16,2608,translate,0,proofread,2,True,True,False,172,0.021902457659493186,7853,7850
